name_,date,prueba_de_produccion_petróleo_a_24_horas_bbld,prueba_de_producción_agua_a_24_horas_bbld,prueba_pozooil_24__prueba_pozowater_24,prueba_de_producción_gas_a_24_horas_mcfd,bsw_pct,gravedad_api_del_petroleo,salinidad_ppm_pu,presion_de_intake_psi,frecuencia_bomba_hz,amperaje_bomba_amp,presion_de_tubing_psi,presion_de_casing_psi,tipo_de_bomba,temperatura_de_la_bomba_deg_f,etapas_de_la_bomba,campo,delta_1,delta_3,slope_7,slope_14,evento_hibrido,Unnamed: 23,regimen_id,qtot_lo,qtot_hi,gas_hi,hz_hi,pint_lo,qtot_lo_p,qtot_hi_p,gas_hi_p,hz_hi_p,pint_lo_p,qtot_lo_eff,qtot_hi_eff,gas_hi_eff,hz_hi_eff,pint_lo_eff,env_q,env_gate,slope7_mean,slope7_std,d1_p,Qt_prev14,ratio14,confirm,enough,fuera_inst,alarma_instantanea,persist,persist_ref,pred_evento
SCH-007U,2016-09-27,235.22,500.32,735.53,14.0,68.02,22.4,,,,,60.0,,TD1000,,,SACHA NORTE 1,8.67,81.94,10.36,29.26,0,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,0,0,1.59,23.19,104.49,740.35,-0.01,0,1,1,0,0,0,0
SCH-007U,2016-10-12,201.48,429.94,631.42,14.0,68.09,22.4,,,,,70.0,,TD1000,,,SACHA NORTE 1,-104.11,-116.64,5.89,23.13,1,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,0,0,1.59,23.19,104.49,380.78,0.66,1,1,1,1,0,0,2
SCH-007U,2016-10-15,224.61,476.22,700.83,14.0,67.95,22.4,,,,,60.0,,TD1000,,,SACHA NORTE 1,69.41,-26.03,2.72,17.89,0,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,1,0,1.59,23.19,104.49,380.78,0.84,1,1,0,0,0,0,0
SCH-007U,2016-10-18,241.96,514.78,756.74,14.0,68.02,22.4,,,,,60.0,,TD1000,,,SACHA NORTE 1,55.91,21.21,4.27,12.96,0,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,0,0,1.59,23.19,104.49,384.64,0.97,1,1,1,1,0,0,2
SCH-007U,2016-11-10,228.47,485.86,714.32,14.0,68.02,22.4,,,,,80.0,,TD1000,,,SACHA NORTE 1,-42.42,82.9,-2.72,13.19,0,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,0,0,1.59,23.19,104.49,627.56,0.14,0,1,1,0,0,0,0
SCH-007U,2016-11-11,211.12,447.3,658.41,14.0,67.94,22.4,,,,,60.0,,TD1000,,,SACHA NORTE 1,-55.91,-42.42,-4.37,6.33,0,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,1,0,1.59,23.19,104.49,472.36,0.39,1,1,0,0,0,0,0
SCH-007U,2016-11-29,209.19,444.4,653.59,14.0,67.99,22.4,,,,,60.0,,TD1000,,,SACHA NORTE 1,-4.82,-103.15,-6.37,-1.52,0,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,1,0,1.59,23.19,104.49,471.4,0.39,1,1,0,0,0,0,0
SCH-007U,2016-12-14,203.4,432.84,636.24,14.0,68.03,22.4,,,,,70.0,,TD1000,,,SACHA NORTE 1,-17.35,-78.08,-6.37,-1.67,0,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,1,0,1.59,23.19,104.49,744.21,-0.15,0,1,0,0,0,0,0
SCH-007U,2016-12-17,206.3,438.62,644.92,14.0,68.01,22.4,,,,,70.0,,TD1000,,,SACHA NORTE 1,8.68,-13.49,-16.77,-1.96,0,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,1,0,1.59,23.19,104.49,718.18,-0.1,0,1,0,0,0,0,0
SCH-007U,2016-12-22,203.4,432.84,636.24,14.0,68.03,22.4,,,,,70.0,,TD1000,,,SACHA NORTE 1,-8.68,-17.35,-18.66,-4.3,0,,SCH-007U||TD1000,636.24,702.18,14.0,61.0,1026.5,1162.0,1514.0,106.35,64.5,804.5,636.24,702.18,14.0,61.0,1026.5,1,0,1.59,23.19,104.49,653.59,-0.03,0,1,0,0,0,0,0
